Kode Hac,Site,Nama equipment,Part,Standard
btm-BE01,Batam,Bucket Elevator 01,Motor / Drive Unit,Suhu < 60 derajat C
btm-BE01,Batam,Bucket Elevator 01,Motor / Drive Unit,Getaran mesin normal
btm-BE01,Batam,Bucket Elevator 01,Gearbox,Tidak ada rembesan oli
btm-BE01,Batam,Bucket Elevator 01,Gearbox,Level oli cukup
btm-BE01,Batam,Bucket Elevator 01,Belt dan Chain,Ketegangan sesuai
btm-BE01,Batam,Bucket Elevator 01,Belt dan Chain,Tidak ada keretakan
btm-BE01,Batam,Bucket Elevator 01,Buckets (Mangkok),Baut pengikat kencang
btm-BE01,Batam,Bucket Elevator 01,Buckets (Mangkok),Tidak ada bucket pecah
Blwn-BE01,Belawan,Bucket Elevator 01,Motor / Drive Unit,Suhu < 60 derajat C
Blwn-BE01,Belawan,Bucket Elevator 01,Motor / Drive Unit,Getaran mesin normal
Blwn-BE01,Belawan,Bucket Elevator 01,Gearbox,Tidak ada rembesan oli
Blwn-BE01,Belawan,Bucket Elevator 01,Gearbox,Level oli cukup
Blwn-BE01,Belawan,Bucket Elevator 01,Belt dan Chain,Ketegangan sesuai
Blwn-BE01,Belawan,Bucket Elevator 01,Belt dan Chain,Tidak ada keretakan
Blwn-BE01,Belawan,Bucket Elevator 01,Buckets (Mangkok),Baut pengikat kencang
Blwn-BE01,Belawan,Bucket Elevator 01,Buckets (Mangkok),Tidak ada bucket pecah
dmi-BE01,Dumai,Bucket Elevator 01,Motor / Drive Unit,Suhu < 60 derajat C
dmi-BE01,Dumai,Bucket Elevator 01,Motor / Drive Unit,Getaran mesin normal
dmi-BE01,Dumai,Bucket Elevator 01,Gearbox,Tidak ada rembesan oli
dmi-BE01,Dumai,Bucket Elevator 01,Gearbox,Level oli cukup
dmi-BE01,Dumai,Bucket Elevator 01,Belt dan Chain,Ketegangan sesuai
dmi-BE01,Dumai,Bucket Elevator 01,Belt dan Chain,Tidak ada keretakan
dmi-BE01,Dumai,Bucket Elevator 01,Buckets (Mangkok),Baut pengikat kencang
dmi-BE01,Dumai,Bucket Elevator 01,Buckets (Mangkok),Tidak ada bucket pecah
Tq-BE01,Jetty Tuban,Bucket Elevator 01,Motor / Drive Unit,Suhu < 60 derajat C
Tq-BE01,Jetty Tuban,Bucket Elevator 01,Motor / Drive Unit,Getaran mesin normal
Tq-BE01,Jetty Tuban,Bucket Elevator 01,Gearbox,Tidak ada rembesan oli
Tq-BE01,Jetty Tuban,Bucket Elevator 01,Gearbox,Level oli cukup
Tq-BE01,Jetty Tuban,Bucket Elevator 01,Belt dan Chain,Ketegangan sesuai
Tq-BE01,Jetty Tuban,Bucket Elevator 01,Belt dan Chain,Tidak ada keretakan
Tq-BE01,Jetty Tuban,Bucket Elevator 01,Buckets (Mangkok),Baut pengikat kencang
Tq-BE01,Jetty Tuban,Bucket Elevator 01,Buckets (Mangkok),Tidak ada bucket pecah
LSW-BE01,Lhokseumawe,Bucket Elevator 01,Motor / Drive Unit,Suhu < 60 derajat C
LSW-BE01,Lhokseumawe,Bucket Elevator 01,Motor / Drive Unit,Getaran mesin normal
LSW-BE01,Lhokseumawe,Bucket Elevator 01,Gearbox,Tidak ada rembesan oli
LSW-BE01,Lhokseumawe,Bucket Elevator 01,Gearbox,Level oli cukup
LSW-BE01,Lhokseumawe,Bucket Elevator 01,Belt dan Chain,Ketegangan sesuai
LSW-BE01,Lhokseumawe,Bucket Elevator 01,Belt dan Chain,Tidak ada keretakan
LSW-BE01,Lhokseumawe,Bucket Elevator 01,Buckets (Mangkok),Baut pengikat kencang
LSW-BE01,Lhokseumawe,Bucket Elevator 01,Buckets (Mangkok),Tidak ada bucket pecah
Lpg-BE01,Lampung,Bucket Elevator 01,Motor / Drive Unit,Suhu < 60 derajat C
Lpg-BE01,Lampung,Bucket Elevator 01,Motor / Drive Unit,Getaran mesin normal
Lpg-BE01,Lampung,Bucket Elevator 01,Gearbox,Tidak ada rembesan oli
Lpg-BE01,Lampung,Bucket Elevator 01,Gearbox,Level oli cukup
Lpg-BE01,Lampung,Bucket Elevator 01,Belt dan Chain,Ketegangan sesuai
Lpg-BE01,Lampung,Bucket Elevator 01,Belt dan Chain,Tidak ada keretakan
